RPM,Flowrate_GPM,Head_ft,Power_HP,Flowrate_norm_global,Head_norm_global,Power_norm_global,Flowrate_norm_per_rpm,Head_norm_per_rpm,Power_norm_per_rpm,RPM_norm
1725,1.153790090296534,193.53429047747244,0.3030612460494484,0.0769192315628077,0.1641069432600214,0.0096134722746101,0.1538384631256154,0.9372969251496052,0.2265908306699861,0.5
1725,1.164628627433877,193.45894363280243,0.3033028771741065,0.0776417983424892,0.1640041652452885,0.0096963793632101,0.1552835966849784,0.9367099084441054,0.2285449618660495,0.5
1725,1.3460935666581777,192.16976968944144,0.307348402579903,0.089739421397969,0.1622456478299365,0.0110844568872728,0.179478842795938,0.9266661349541574,0.2612621352480741,0.5
1725,1.3587235849413808,192.08004276729065,0.3076194238783021,0.0905814198634971,0.1621232544507959,0.0111774481640823,0.1811628397269942,0.9259670850806522,0.2634539521125142,0.5
1725,1.538399053879117,190.7560672548265,0.3114749906550138,0.1025597452899783,0.1603172654233587,0.0125003481704964,0.2051194905799566,0.9156521774439372,0.2946348826633175,0.5
1725,1.5527971302921473,190.6499720782832,0.3117693159260335,0.103519613912057,0.1601725446767155,0.0126013353730191,0.2070392278241141,0.9148256047947892,0.2970151645690664,0.5
1725,1.7307068839743291,189.2788285505464,0.31540614455282,0.115380225373095,0.1583022153973429,0.0138491831973035,0.2307604507461901,0.9041432177625988,0.3264271051226467,0.5
1725,1.7468421566444725,189.154474633844,0.3157204682291758,0.1164559067002714,0.1581325885372016,0.0139570321382112,0.2329118134005428,0.9031743938281884,0.3289691191222804,0.5
1725,1.9230168234024327,187.72956310728844,0.3191524442526484,0.1282008460779446,0.1561889161974931,0.0151345921096499,0.2564016921558893,0.8920731078538313,0.356724365558756,0.5
1725,1.940853535355041,187.58529868536647,0.3194818352663399,0.1293899563197038,0.1559921301084848,0.0152476108691115,0.2587799126394077,0.8909491639640995,0.3593882328749728,0.5
1725,2.1153288797348115,186.09745359574373,0.3227038758925564,0.1410216079092845,0.1539626122804822,0.0163531390085368,0.2820432158185691,0.8793575714212473,0.3854456793714926,0.5
1725,2.134824190987465,185.931206592644,0.3230420975632312,0.1423212910761377,0.1537358405157359,0.0164691876924833,0.2846425821522754,0.878062364322845,0.3881809624141286,0.5
1725,2.3076431405237847,184.35860235549683,0.3260403114967736,0.1538425167039167,0.1515907056774768,0.0174979176981134,0.3076850334078335,0.8658104251422717,0.4124282665985388,0.5
1725,2.328738563872182,184.1666398870805,0.3263803212705247,0.1552488736616607,0.1513288563393464,0.0176145799057538,0.3104977473233214,0.8643148724581101,0.4151780104769134,0.5
1725,2.499959668633344,182.50895941299063,0.329140012229544,0.1666635766527604,0.1490676719601647,0.0185614692734699,0.3333271533055209,0.8514001162406041,0.4374963198509375,0.5
1725,2.5225919875054443,182.2898441752401,0.3294794241565282,0.1681723929770404,0.1487687844721437,0.0186779263513492,0.3363447859540808,0.8496930201365475,0.4402412287933362,0.5
1725,2.692278113858261,180.5428902600872,0.3320241698122155,0.1794847644088767,0.146385825291628,0.0195510649167515,0.3589695288177535,0.8360827470531265,0.4608212218669139,0.5
1725,2.7163771555711227,180.2947856202053,0.3323582633056615,0.1810913619361276,0.1460473943666867,0.0196656971641534,0.3621827238722552,0.8341497985804928,0.463523119310252,0.5
1725,2.884598360559964,178.4507432399423,0.3346903730516035,0.1923060722630527,0.1435320001818762,0.0204658773131525,0.3846121445261055,0.8197831228742342,0.482383472725551,0.5
1725,2.910083625120323,178.17137353786086,0.3350130297872113,0.1940050843446059,0.1431509216711275,0.0205765854456593,0.3880101686892118,0.8176065926844096,0.4849928782545916,0.5
1725,3.076920364665675,176.2042076571012,0.3371252698871195,0.2051274972771127,0.1404675789942012,0.0213013251800596,0.4102549945542255,0.8022806790439323,0.5020750909813105,0.5
1725,3.1036853746937174,175.88862240490295,0.3374313579629763,0.2069118254441928,0.1400371001089609,0.0214063483688577,0.4138236508883857,0.7998219985794608,0.504550501624791,0.5
1725,3.269243993538517,173.81098544469913,0.3393247074902372,0.2179490306086273,0.1372030676681778,0.0220559836227162,0.4358980612172547,0.7836354202437024,0.5198624916737008,0.5
1725,3.297184670861584,173.46035082172034,0.3396141760498107,0.2198117363390795,0.1367247791531881,0.0221553044182033,0.439623472678159,0.7809036750443301,0.5222034961421548,0.5
1725,3.461568911430557,171.26656041832103,0.3413172152705105,0.2307706498744741,0.1337323058334498,0.0227396414888501,0.4615412997489482,0.7638121615137976,0.5359763992563431,0.5
1725,3.490569916417379,170.87952741437363,0.3415875871226347,0.2327040438846911,0.1332043675507514,0.0228324099313706,0.4654080877693823,0.7607968416302391,0.5381629638867107,0.5
1725,3.653894956013273,168.5578115760608,0.3431102410263142,0.243592344252787,0.1300373955868848,0.0233548542244149,0.487184688505574,0.7427086789675307,0.5504770459330425,0.5
1725,3.683822864901437,168.13237711576522,0.3433576684305984,0.2455875316543611,0.1294570752109004,0.0234397500993072,0.4911750633087223,0.7393941787202739,0.5524780530887091,0.5
1725,3.846222023743173,165.66471089815732,0.3447002948894098,0.2564141068406891,0.1260910174021102,0.0239004244057935,0.5128282136813782,0.7201689371102591,0.5633362082685747,0.5
1725,3.8769170642805992,165.19829767827034,0.3449235353471222,0.2584604361849789,0.1254547993229708,0.0239770213940037,0.5169208723699579,0.716535177090995,0.5651416095522732,0.5
1725,4.038549943836214,162.59656694665117,0.346099067204439,0.2692359262526148,0.1219058687654071,0.0243803631571337,0.5384718525052296,0.696265457644065,0.5746484289969913,0.5
